,Acetate,Fructose,Galactose,Glucose,Glycerol,Gluconate,Pyruvate,Succinate
b0053,0.7516529095,0.881411106513,0.815843856026,1.26858374638,0.931041069139,1.02831050756,1.0384822079,1.17422483557
b0054,0.96073931743,0.977768628069,0.75461026686,1.09572081685,1.04806573719,0.834381223706,1.12788392819,1.14444460956
b0055,0.888864033559,1.36938216326,0.527167923609,1.22414515578,0.902785258377,1.01189911541,1.23113687901,0.918245156974
b0058,1.00060062667,1.00502076039,1.03577938997,1.11606153146,0.936631286102,1.0555171663,1.02370087147,0.846765260805
b0059,0.695664582712,0.771007797575,1.02151797749,1.58660720105,1.00278203889,1.1121065083,0.772353175732,1.25055074018
b0060,1.61120328288,0.995869867778,1.10159178356,0.838559272745,1.00108650053,0.918226834198,0.960444452596,0.774828784798
b0061,0.589028839159,0.54364684582,1.59063356543,1.05641896475,0.922023939182,1.41502678986,0.294485734149,0.879644838945
b0062,11.7400259479,2.43990666214,16.4777724425,4.94215824276,7.3246546625,0.435824576319,25.1236314162,0.566384537507
b0063,0.488084179887,0.841326390983,1.4188735528,0.966252229511,1.6602034606,1.37054062541,0.343373637776,1.11454877318
b0064,1.96574744332,0.921030706089,1.50743373254,0.417550646803,1.00120419293,0.441439880386,1.80785321652,0.954616928195
b0065,1.43450644211,0.848442724675,1.31200629226,0.977196443467,1.1283703515,0.746865669088,0.970620370159,1.11681476877
b0066,0.886411271036,0.933252836157,0.434175725163,1.04958213349,0.826589878331,1.00826221992,1.36933099374,1.67504468417
b0067,1.74260707423,1.85877471623,0.584604142007,0.939444827209,0.811626160389,0.837551380511,2.08987591386,1.37453426267
b0068,1.24881039123,1.32926439327,0.332022563201,0.737574906051,0.880255415522,0.938454721633,1.85359153652,1.31225271734
b0069,1.03218509141,1.22733464092,0.7867073819,1.05724805187,0.964020605604,0.941818543953,1.02240452036,1.08743935795
b0070,0.776032771959,0.892175903221,1.24977599327,1.05215046935,1.06320354569,0.891542373842,0.862678419785,1.45120693971
b0071,1.62006099462,0.906980033284,1.35413576211,1.09660607877,0.891625168375,0.92981811096,0.63752420624,1.09310417025
