b0607,uspG
b0608,ybdR
b0610,rnk
b0611,rna
b0612,citT
b0613,citG
b0614,citX
b0615,citF
b0616,citE
b0617,citD
b0618,citC
b0619,dpiB
b0620,dpiA
b0621,dcuC
b0622,pagP
b0623,cspE
b0624,crcB
b4581,ybeM
b0627,tatE
b0628,lipA
b0629,ybeF
b0630,lipB
b0631,ybeD
b0632,dacA
b0633,rlpA
b0634,mrdB
b0635,mrdA
b0636,rlmH
b0637,ybeB
b0638,cobC
b0639,nadD
b0640,holA
b0641,lptE
b0642,leuS
b0643,ybeL
b0644,ybeQ
b0645,ybeR
b0646,djlB
b0647,ybeT
b0648,ybeU
b0649,djlC
b0650,hscC
b0651,rihA
b0652,gltL
b0653,gltK
b0654,gltJ
b0655,gltI
b0656,insH
b0657,lnt
b0658,ybeX
b0659,ybeY
b0660,ybeZ
b0661,miaB
b0662,ubiF
b0664,glnX
b0665,glnV
b0666,metU
b0668,glnW
b0670,glnU
b0672,leuW
b0673,metT
b0674,asnB
b0675,nagD
b0676,nagC
b0677,nagA
b0678,nagB
b0679,nagE
b0680,glnS
b0681,chiP
b0682,chiQ
b0683,fur
b4637,uof
b0684,fldA
b0685,ybfE
b0686,ybfF
b0687,seqA
b0688,pgm
b0689,ybfP
b0691,ybfG
b4636,ybfI
b0692,potE
b0693,speF
b4590,ybfK
b0694,kdpE
b0695,kdpD
b0696,kdpC
b0697,kdpB
b0698,kdpA
b4513,kdpF
b0699,ybfA
b0700,rhsC
b0702,ybfB
b0703,ybfO
b0704,ybfC
b4514,ybfQ
b0705,ybfL
b0706,ybfD
b0707,ybgA
b0708,phr
b0709,dtpD
b0710,ybgI
b0711,ybgJ
b0712,ybgK
b0713,ybgL
b0714,nei
b0715,abrB
b0716,ybgO
b0717,ybgP
b0718,ybgQ
b0719,ybgD
b0720,gltA
b0721,sdhC
b0722,sdhD
b0723,sdhA
b0724,sdhB
b0726,sucA
b0727,sucB
b0728,sucC
b0729,sucD
b0730,mngR
b0731,mngA
b0732,mngB
b0733,cydA
b0734,cydB
b4515,ybgT
b0735,ybgE
b0736,ybgC
b0737,tolQ
b0738,tolR
b0739,tolA
b0740,tolB
b0741,pal
b0742,ybgF
b0743,lysT
b0744,valT
b0745,lysW
b0746,valZ
b0747,lysY
b0748,lysZ
b0749,lysQ
b0750,nadA
b0751,pnuC
b0752,zitB
b0753,ybgS
b0754,aroG
b0755,gpmA
b0756,galM
b0757,galK
b0758,galT
b0759,galE
b0760,modF
b0761,modE
b0762,ybhT
b0763,modA
b0764,modB
b0765,modC
b0766,ybhA
b0767,pgl
b0768,ybhD
b0769,ybhH
b0770,ybhI
b0771,ybhJ
b0772,ybhC
b0773,ybhB
b0774,bioA
b0775,bioB
b0776,bioF
b0777,bioC
b0778,bioD
b0779,uvrB
b0780,ybhK
b0781,moaA
b0782,moaB
b0783,moaC
b0784,moaD
b0785,moaE
b0786,ybhL
b0787,ybhM
b0788,ybhN
b0789,ybhO
b0790,ybhP
b0791,ybhQ
b0792,ybhR
b0793,ybhS
b0794,ybhF
b0795,ybhG
b0796,ybiH
b0797,rhlE
b0798,ybiA
b0799,dinG
b0800,ybiB
b0801,ybiC
b0802,ybiJ
b0803,ybiI
b0804,ybiX
b0805,fiu
b0806,mcbA
b0807,rlmF
b0808,ybiO
b0809,glnQ
b0810,glnP
b0811,glnH
b0812,dps
b0813,rhtA
b0814,ompX
b0815,ybiP
b0816,yliL
b4416,rybA
b0817,mntR
b0818,ybiR
b0819,ybiS
b0820,ybiT
b0821,ybiU
b0822,ybiV
b0823,ybiW
b0824,ybiY
b0825,fsaA
b0826,moeB
b0827,moeA
b0828,iaaA
b0829,gsiA
b0830,gsiB
b0831,gsiC
b0832,gsiD
b0833,yliE
b0834,yliF
b0835,rimO
b0836,bssR
b0837,yliI
b0838,gstB
b0839,dacC
b0840,deoR
b0841,ybjG
b0842,mdfA
b0843,ybjH
b0844,ybjI
b0845,ybjJ
b0846,ybjK
b4417,rybB
b0847,ybjL
b0848,ybjM
b0849,grxA
b0850,ybjC
b0851,nfsA
b0852,rimK
b0853,ybjN
b0854,potF
b0855,potG
b0856,potH
b0857,potI
b0858,ybjO
b0859,rlmD
b0860,artJ
b0861,artM
b0862,artQ
b0863,artI
b0864,artP
b0865,ybjP
b0866,ybjQ
b0867,amiD
b0868,ybjS
b0869,ybjT
b0870,ltaE
b0871,poxB
b0872,hcr
b0873,hcp
b0874,ybjE
b0875,aqpZ
b0876,ybjD
b0877,ybjX
b0878,macA
b0879,macB
b0880,cspD
b0881,clpS
b0882,clpA
b0883,serW
b0884,infA
b0885,aat
b0886,cydC
b0887,cydD
b0888,trxB
b0889,lrp
b0890,ftsK
b0891,lolA
b0892,rarA
b0893,serS
b0894,dmsA
b0895,dmsB
b0896,dmsC
b0897,ycaC
b0898,ycaD
b0899,ycaM
b0900,ycaN
b0901,ycaK
b0902,pflA
b0903,pflB
b0904,focA
b0905,ycaO
b0906,ycaP
b0907,serC
b0908,aroA
b0909,ycaL
b0910,cmk
b0911,rpsA
b0912,ihfB
b0913,ycaI
b0914,msbA
b0915,lpxK
b0916,ycaQ
b0917,ycaR
b0918,kdsB
b0919,ycbJ
b0920,ycbC
b0921,smtA
b0922,mukF
b0923,mukE
b0924,mukB
b0925,ycbB
b0926,ycbK
b0927,ycbL
b0928,aspC
b0929,ompF
b0930,asnS
b0931,pncB
b0932,pepN
b0933,ssuB
b0934,ssuC
b0935,ssuD
b0936,ssuA
b0937,ssuE
b0938,elfA
b0939,elfD
b0940,elfC
b0941,elfG
b0942,ycbU
b0943,ycbV
b0944,ycbF
b0945,pyrD
b0946,zapC
b0947,ycbX
b0948,rlmL
b0949,uup
b0950,pqiA
b0951,pqiB
b0952,ymbA
b0953,rmf
b0954,fabA
b0955,ycbZ
b0956,matP
b0957,ompA
b0958,sulA
b0959,sxy
b0960,yccS
b0961,yccF
b0962,helD
b0963,mgsA
b0964,yccT
b0965,yccU
b0966,hspQ
b0967,rlmI
b0968,yccX
b0969,tusE
b0970,yccA
b0971,serT
b0972,hyaA
b0973,hyaB
b0974,hyaC
b0975,hyaD
b0976,hyaE
b0977,hyaF
b0978,appC
b0979,appB
b4592,yccB
b0980,appA
b0981,etk
b0982,etp
b0983,gfcE
b0984,gfcD
b0985,gfcC
b0986,gfcB
b0987,gfcA
b4516,insA
b0988,insB
b0989,cspH
b0990,cspG
b0991,ymcE
b4517,gnsA
b0992,yccM
b0993,torS
b0994,torT
b0995,torR
b0996,torC
b0997,torA
b0998,torD
b0999,cbpM
b1000,cbpA
b1001,yccE
b1002,agp
b1003,yccJ
b1004,wrbA
b4518,ymdF
b1006,rutG
b1007,rutF
b1008,rutE
b1009,rutD
b1010,rutC
b1011,rutB
b1012,rutA
b1013,rutR
b1014,putA
b1015,putP
b4490,efeU
b1018,efeO
b1019,efeB
b1020,phoH
b1021,pgaD
b1022,pgaC
b1023,pgaB
b1024,pgaA
b1025,ycdT
b1026,insF
b1027,insE
b1028,ymdE
b1029,ycdU
b1032,serX
b1033,ghrA
b1034,ycdX
b1035,ycdY
b1036,ycdZ
b1037,csgG
b1038,csgF
b1039,csgE
b1040,csgD
b1041,csgB
b1042,csgA
b1043,csgC
b1044,ymdA
b1045,ymdB
b1046,ymdC
b1047,opgC
b1048,opgG
b1049,opgH
b1050,yceK
b1051,msyB
b1053,mdtG
b1054,lpxL
b1055,yceA
b1056,yceI
b1057,yceJ
b1058,yceO
b1059,solA
b1060,bssS
b1061,dinI
b1062,pyrC
b1063,yceB
b1064,grxB
b1065,mdtH
b1066,rimJ
b1067,yceH
b1068,yceM
b1069,murJ
b1070,flgN
b1071,flgM
b1072,flgA
b1073,flgB
b1074,flgC
b1075,flgD
b1076,flgE
b1077,flgF
b1078,flgG
b1079,flgH
b1080,flgI
b1081,flgJ
b1082,flgK
b1083,flgL
b1084,rne
b1085,yceQ
b1086,rluC
b1087,yceF
b4418,psrD
b1088,yceD
b1089,rpmF
b1090,plsX
b1091,fabH
b1092,fabD
b1093,fabG
b1094,acpP
b1095,fabF
b1096,pabC
b1097,yceG
b1098,tmk
b1099,holB
b1100,ycfH
b1101,ptsG
b1102,fhuE
b1103,hinT
b1104,ycfL
b1105,lpoB
b1106,thiK
b1107,nagZ
b1108,ycfP
b1109,ndh
b1110,ycfJ
b1111,ycfQ
b1112,bhsA
b1113,ycfS
b1114,mfd
b1115,ycfT
b1116,lolC
b1117,lolD
b1118,lolE
b1119,nagK
b1120,cobB
b1121,ycfZ
b1122,ymfA
b1123,potD
b1124,potC
b1125,potB
b1126,potA
b1127,pepT
b1128,ycfD
b1129,phoQ
b1130,phoP
b1131,purB
b1132,hflD
b1133,mnmA
b1134,nudJ
b1135,rluE
b1136,icd
b1137,ymfD
b1138,ymfE
b1139,lit
b1140,intE
b1141,xisE
